Id,SalePrice
2658,133638.982
2718,228541.4699
2414,272415.3611
1989,148432.911
625,222293.557
333,306931.0645
1327,186849.3053
858,277713.1357
95,165915.6672
1568,89936.57333
2482,132235.5316
1364,221525.188
2584,177109.6626
818,118320.9644
2673,134473.3661
2089,103762.7588
1297,128337.5044
790,216543.5772
2616,331062.7844
720,231540.8529
222,213341.0653
557,213945.2556
1148,187163.6084
2766,89274.33006
534,135489.285
1452,259052.782
630,186225.7424
2648,128242.4591
125,250803.5192
1904,84429.21929
1670,295681.8353
756,105291.9093
717,130199.6056
1032,199967.0505
852,221363.6707
1731,86268.32624
2639,164253.1918
2071,224785.1757
1267,305930.1334
1851,115980.8325
567,223283.6078
2439,224928.8244
1898,310127.9196
647,181238.5695
2256,91608.09794
979,178821.5948
1444,117722.1661
2485,105404.9407
157,300696.6674
88,136825.8825
2003,310328.0349
186,47151.67654
1425,129369.428
2695,225125.0029
738,131639.898
395,114312.6036
1353,237794.7721
1878,214408.1639
390,114728.8272
1456,176861.7273
1103,286712.547
1387,58236.09944
2070,177745.3316
1199,240832.9281
2479,208033.7703
501,78259.46725
2362,278918.5855
1718,228385.3341
2188,293705.9647
1483,125368.6139
2557,216199.4028
437,307223.2658
2224,314959.8057
1628,194940.8503
397,123924.9689
587,199834.3745
2182,189273.9292
971,143345.9156
2611,147210.2201
1887,281385.1522
2399,120108.3093
2148,102783.9385
304,302544.192
1997,148791.9403
2817,115706.2689
1431,111182.7072
427,119171.7684
263,242398.5811
598,56545.02463
2895,162200.8268
687,200626.3854
1822,168351.2788
2191,134691.2097
179,196290.8839
1009,142849.1922
2010,221724.6083
1991,146968.7133
1411,124795.6571
1721,210036.4483
1144,162221.4377
593,144118.3646
575,291759.9256
1249,61065.50543
1604,219309.704
1064,186133.942
1923,145257.7222
1988,119857.1846
2325,141234.9098
114,140617.1332
2700,170560.2294
217,46673.30466
343,185540.3645
386,117368.4729
2005,310845.7739
2908,73781.40453
1814,228904.3617
2446,205797.9076
208,141364.4463
1679,124362.8984
822,153139.5697
6,216861.5855
1781,113605.1239
2397,240716.2578
2340,175972.2595
1618,230372.9004
2843,225487.6806
1061,138187.2427
2786,263664.7676
1935,227108.8943
1341,124432.5889
521,172071.7793
2136,122824.8259
996,125913.9207
227,326431.9309
135,170630.417
1167,157437.9226
294,84435.8045
1776,140936.9348
540,190164.4027
1717,178013.5467
2303,57918.09116
116,3547.122114
127,114171.096
1371,68288.11648
1014,247694.1884
1507,219421.3356
702,345772.3545
750,188366.8939
261,130974.1559
1559,183770.4076
577,94368.32461
2812,129237.6133
2080,117932.2766
1368,263163.6462
2376,130995.1594
659,191516.7033
1235,245465.6895
332,175212.646
1917,142967.9446
2094,201589.9146
1460,117395.3679
1471,261999.0325
1509,121396.5187
1922,180188.4769
433,84448.93339
460,197530.8997
1116,141316.6747
1137,194391.5421
53,151981.6848
2354,255419.8309
1475,245575.1734
1761,133984.7681
842,123584.6013
2739,207087.3255
2509,184289.7564
1007,151563.1542
2610,273710.0382
1952,115352.3638
2719,122846.4852
2921,113164.7218
1966,229144.7844
292,154355.4607
1204,178398.741
1829,196901.7304
2419,95096.76802
391,191974.8361
798,174731.1904
481,147134.4795
193,155054.0617
555,138218.2222
899,237232.2961
2357,128973.521
328,128166.21
1356,2562.240832
1154,217033.0618
1730,178087.9305
2249,91997.75597
1119,285147.6969
2856,187860.5557
1394,267521.8432
2587,210674.4379
61,117892.299
2661,196649.8786
2711,142997.2151
1147,136330.8061
757,112251.9534
2623,177853.8382
2378,136310.4974
1413,115128.0761
1722,232590.9095
1112,154337.175
1623,350791.0676
1201,159533.7816
1513,138066.4206
957,367097.5916
1171,212839.5361
1145,274748.2206
2726,165975.9853
703,269624.9896
760,133846.103
1964,116517.7062
2512,181635.9964
159,147953.1369
1281,211501.2314
468,86429.07178
290,235743.8626
665,212501.9015
1463,112826.7649
1792,75489.79816
923,200180.8741
500,131252.9567
1408,115512.588
331,172947.1815
170,169622.4914
2192,170558.5747
2571,86052.73302
2314,192494.8439
2647,79587.2346
422,142095.3018
2457,210674.4379
1838,248177.1142
2805,147719.7006
1645,134198.9312
1711,169528.637
2825,130551.5454
322,214987.6171
2103,297483.0956
342,178422.742
600,136303.8514
488,244352.023
1725,249087.6507
2246,304296.2116
2847,201253.582
806,209317.6306
530,213544.867
963,169931.5708
2678,183973.0036
171,104365.7049
2401,339582.8294
805,248367.5173
2259,240816.0038
1748,81044.50228
1361,202390.7648
